"iter","Type","Policy","Region","condition"
"23","onshore","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"45","solar","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"33","solar","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"42","solar","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"47","solar","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"37","solar","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"40","solar","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"52","solar","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","solar","p7_2045_high_low_REF_high","CA_S","Min Cap"
"48","solar","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"54","solar","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"38","solar","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"54","solar","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"45","Storage","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"33","Storage","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"42","Storage","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"34","Storage","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"32","Storage","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"6","Storage","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"52","Storage","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","Storage","p7_2045_high_low_REF_high","CA_S","Min Cap"
"27","Storage","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"34","Storage","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"38","Storage","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"42","Storage","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"16","ZCF","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"15","ZCF","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"5","ZCF","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"40","ZCF","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"1","ZCF","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"31","ZCF","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"2","ZCF","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","ZCF","p7_2045_high_low_REF_high","CA_S","Min Cap"
"13","ZCF","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"40","ZCF","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"1","ZCF","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"13","ZCF","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
