region,Resource,cluster,R_ID,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,regional_cost_multiplier,lcoe,ids,waccnomtech,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,resource_type
WECC_PNW,geothermal,1,47,5,trans,0.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14.487,3,28.5,-1,4.83,0,0,0,0,0,0,198040,0,0,0,0,0,0,0,0,9.12,0,0,None,0.053,0,1,1,1.58,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['58022_NHS1', '58022_NHS2', '58022_NHS3']",0,"[58022, 58022, 58022]",0,0,0,other_renewables
WECC_PNW,geothermal,2,48,5,trans,0.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.169,1,2.3,-1,1.17,0,0,0,0,0,0,198040,0,0,0,0,0,0,0,0,9.12,0,0,None,0.435,0,1,1,1.58,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['59382_SVEP1'],0,[59382],0,0,0,other_renewables
WECC_PNW,hydroelectric_pumped_storage,1,49,5,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,313.998,6,313.998,-1,52.33,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['6163_PG10', '6163_PG11', '6163_PG12', '6163_PG7', '6163_PG8', '6163_PG9']",0,"[6163, 6163, 6163, 6163, 6163, 6163]",0,0,0,pumped_hydro
WECC_PNW,natural_gas_fired_combined_cycle,1,50,5,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1918.398,6,1918.398,0,319.73,0,0,0,0,0,0,13329,0,0,0,3.99,0,0,87,2,7.35,0.817,1.659,ZCF,0.45,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,"[7999, 54950, 55700, 56227, 57653, 58503]",2592.377,0,0,naturalgas_cc
WECC_PNW,natural_gas_fired_combustion_turbine,1,51,5,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,407.6,4,407.6,0,101.9,0,0,0,0,0,0,9395,0,0,0,4.41,0,0,113,3.5,9.66,0,0,ZCF,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['59721_GT1', '59721_GT2', '59721_GT3', '59721_GT4']",0,"[59721, 59721, 59721, 59721]",0,0,0,naturalgas_ct
WECC_PNW,onshore_wind_turbine,1,52,5,trans,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5254,8,320,0,40,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,9.19,0.023,0.043,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['58099_1', '59076_WT1', '59490_JCW', '59491_BCW', '59492_DCW', '59493_PW', '59494_WSW', '61045_WT1']",0,"[58099, 59076, 59490, 59491, 59492, 59493, 59494, 61045]",0,0,0,onshore_wind
WECC_PNW,solar_photovoltaic,1,53,5,trans,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,209.9,32,277.696,0,8.68,0,0,0,0,0,0,18760,0,0,0,0,0,0,0,0,9.16,0.092,0.044,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['56322_WHS1', '57372_INV-1', '57652_1', '57882_BSH1', '58131_PV1', '58150_1', '58961_PV', '59374_OMSLR', '59790_PV1', '60057_STEEL', '60112_PV1', '60330_GSC1', '60331_HSC1', '60332_ORSC1', '60333_RSC1', '60334_TSC1', '60335_VASC1', '60548_PV1', '60616_BCSLR', '60976_PV1', '61048_PV1', '62067_URTIC', '62068_TYPHA', '62069_PENST', '62070_FUMAR', '62071_CAMAS', '62560_APS', '62863_PRMLE', '62864_RSHEI', '62865_DNZW', '62866_DNZE', '62867_DVRO']",0,"[56322, 57372, 57652, 57882, 58131, 58150, 58961, 59374, 59790, 60057, 60112, 60330, 60331, 60332, 60333, 60334, 60335, 60548, 60616, 60976, 61048, 62067, 62068, 62069, 62070, 62071, 62560, 62863, 62864, 62865, 62866, 62867]",0,0,0,solar
WECC_WYCO,biomass,1,54,6,trans,0.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.225,5,6.3,-1,0.64,0,0,0,0,0,0,122976,0,0,0,4.16,0,0,0,0,11.88,0,0.079,None,0.556,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['56530_GEN1', '56530_GEN2', '56530_GEN3', '56530_GEN4', '59143_FR-1']",0,"[56530, 56530, 56530, 56530, 59143]",0,0,0,other_renewables
WECC_WYCO,biomass,2,55,6,trans,0.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.451,1,12.6,-1,6.45,0,0,0,0,0,0,122976,0,0,0,4.9,0,0,0,0,13.99,0,0,None,0.087,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['58574_01'],0,[58574],0,0,0,other_renewables
WECC_WYCO,conventional_hydroelectric,1,56,6,trans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,961.87,91,961.87,-1,10.57,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0,None,0.028,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"['466_1A', '472_1', '472_2', '473_1', '476_A', '476_B', '494_1', '494_2', '494_3', '495_1', '505_1', '505_2', '512_1', '512_2', '513_1', '513_2', '513_3', '514_1', '514_2', '515_1', '516_1', '516_2', '517_1', '518_1', '518_2', '519_1', '520_1', '521_1', '4176_1', '4176_2', '4177_1', '4177_2', '4178_1', '4178_2', '4180_1', '4180_2', '4180_3', '4182_1', '4182_2', '4182_3', '4183_1', '4185_1', '6159_1', '6206_1', '6206_2', '6207_1', '6393_3', '6394_3', '6394_4', '6394_5', '6408_1', '6409_1', '6409_2', '7233_1', '7317_1', '7317_2', '7317_3', '7372_1', '7373_1', '7458_1', '7541_1', '10070_GEN1', '10081_GEN1', '10421_GEN1', '10422_GEN1', '10422_GEN2', '10423_GEN1', '10424_GEN1', '50206_GEN1', '50206_GEN2', '50206_GEN3', '50267_RED1', '50435_SUG1', '54142_GEN1', '54679_0001', '54680_0001', '54729_COX1', '55931_0001', '57551_MAIN', '58438_TURB1', '58438_TURB2', '58622_1', '58622_2', '58783_SC-1', '58784_SC-3', '58901_TCWG1', '58901_TCWG2', '60119_GEN1', '61189_GEN1', '61190_GEN1', '61191_GEN1']",0,"[466, 472, 472, 473, 476, 476, 494, 494, 494, 495, 505, 505, 512, 512, 513, 513, 513, 514, 514, 515, 516, 516, 517, 518, 518, 519, 520, 521, 4176, 4176, 4177, 4177, 4178, 4178, 4180, 4180, 4180, 4182, 4182, 4182, 4183, 4185, 6159, 6206, 6206, 6207, 6393, 6394, 6394, 6394, 6408, 6409, 6409, 7233, 7317, 7317, 7317, 7372, 7373, 7458, 7541, 10070, 10081, 10421, 10422, 10422, 10423, 10424, 50206, 50206, 50206, 50267, 50435, 54142, 54679, 54680, 54729, 55931, 57551, 58438, 58438, 58622, 58622, 58783, 58784, 58901, 58901, 60119, 61189, 61190, 61191]",0,0,0,hydro
WECC_WYCO,hydroelectric_pumped_storage,1,57,6,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,562.5,5,562.5,-1,112.5,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0.267,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['467_A', '467_B', '518_3', '6208_1', '6208_2']",0,"[467, 467, 518, 6208, 6208]",0,0,0,pumped_hydro
WECC_WYCO,natural_gas_fired_combined_cycle,1,58,6,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,882,4,882,0,220.5,0,0,0,0,0,0,11300,0,0,0,3.7,0,0,87,2,7.18,0.272,0.328,ZCF,0.423,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[5.0, 1.0, 2.0, 1.0]",0,"[469, 56998, 56998, 57703]",3175,0,0,naturalgas_cc
WECC_WYCO,natural_gas_fired_combustion_turbine,1,59,6,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.004,9,1013.004,0,112.56,0,0,0,0,0,0,9904,0,0,0,4.41,0,0,113,3.5,11.36,1.135,0.645,ZCF,0.434,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['6112_5', '6112_6', '6761_F', '56445_GEN1', '56445_GEN2', '56998_CT08', '56998_GT1', '56998_GT2', '57703_02A']",0,"[6112, 6112, 6761, 56445, 56445, 56998, 56998, 56998, 57703]",1390.459,0,0,naturalgas_ct
WECC_WYCO,onshore_wind_turbine,1,60,6,trans,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5751.7,11,2309.197,0,209.93,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,9.18,0.092,0.048,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['56106_KIM01', '58987_I-A', '58987_I-B', '58987_I-C', '59974_GW1', '59975_CW1', '60143_WTG', '60259_PWP1', '61040_WT1', '62445_WT', '62489_GEN1']",0,"[56106, 58987, 58987, 58987, 59974, 59975, 60143, 60259, 61040, 62445, 62489]",0,0,0,onshore_wind
WECC_WYCO,solar_photovoltaic,1,61,6,trans,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,593.1,50,597.5,0,11.95,0,0,0,0,0,0,18760,0,0,0,0,0,0,0,0,9.15,0,0.025,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['56481_1', '56481_2', '56815_1', '56922_EAST', '56922_WEST', '57141_CSU1', '57317_1', '57368_1', '57377_GS-P1', '57377_GS-P2', '57507_CSUII', '57509_1', '57554_AFA1', '57645_PV1', '57681_1', '57692_SEPV', '57694_MESA', '57694_PARKG', '57694_PARKL', '57694_RSF1', '57694_RSF2', '57694_STF', '58481_CSU1', '58547_1', '59144_15755', '59198_STER3', '59199_MESA1', '59239_ESS01', '59462_DIA4', '59656_COMCH', '59742_HCE', '59807_GBDIA', '59848_PPSG1', '59849_23377', '59850_23376', '60008_SCCO3', '60023_FTLUP', '60247_VVS', '60248_CAREY', '60283_MVRKS', '60304_SISPV', '60320_SSCO1', '60351_BSPV1', '60497_SKY B', '60511_PV1', '60764_PV1', '61991_PI-QF', '62376_PV1', '62495_20181', '62877_ADEN3']",0,"[56481, 56481, 56815, 56922, 56922, 57141, 57317, 57368, 57377, 57377, 57507, 57509, 57554, 57645, 57681, 57692, 57694, 57694, 57694, 57694, 57694, 57694, 58481, 58547, 59144, 59198, 59199, 59239, 59462, 59656, 59742, 59807, 59848, 59849, 59850, 60008, 60023, 60247, 60248, 60283, 60304, 60320, 60351, 60497, 60511, 60764, 61991, 62376, 62495, 62877]",0,0,0,solar
CA_N,naturalgas_ccavgcf_mid,0,62,1,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,830174.546,81697,11928,0,0,0,1.54,0,0,95,2,6.27,0,0,ZCF,0.2,0,1,1,1,0,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,30,0,0,0,0,0,0,0,0,naturalgas_cc
CA_N,naturalgas_ctavgcf_mid,0,63,1,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,646953.67,57566,6673,0,0,0,4.3,0,0,123,3.5,9.9,0,0,ZCF,0.3,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.211,0,0,0,30,0,0,0,0,0,0,0,0,naturalgas_ct
