iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks,C
1,WECC_N,battery,17586.631999999998,17586.631999999998,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_N,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_N,onshore_wind,210.139,210.139,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_N,onshore_wind,0.016,0.016,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_N,onshore_wind,0.018000000000000002,0.018000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_N,onshore_wind,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_N,onshore_wind,23022.502,23022.502,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,WECC_N,onshore_wind,0.013999999999999999,0.013999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,WECC_N,onshore_wind,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,WECC_N,onshore_wind,0.05,0.05,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
1,WECC_N,onshore_wind,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,9
1,WECC_N,solar,1005.75,1005.75,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_N,solar,5733.925,5733.925,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_N,solar,5388.75,5388.75,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_N,solar,29004.365,29004.365,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_N,solar,0.111,0.111,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,WECC_N,solar,5127.75,5127.75,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,WECC_N,solar,3415.789,3415.789,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,WECC_N,solar,0.079,0.079,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
1,WECC_NMAZ,ZCF,0.047,0.047,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_NMAZ,ZCF,0.027999999999999997,0.027999999999999997,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_NMAZ,battery,16140.514,16140.514,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_NMAZ,nuclear,0.006,0.006,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_NMAZ,NGCCS,0.022000000000000002,0.022000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,0
1,WECC_NMAZ,onshore_wind,3074.515,3074.515,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,1
1,WECC_NMAZ,onshore_wind,12595.034,12595.034,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,2
1,WECC_NMAZ,onshore_wind,16831.532,16831.532,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,3
1,WECC_NMAZ,onshore_wind,8884.458,8884.458,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,4
1,WECC_NMAZ,onshore_wind,15055.503,15055.503,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,5
1,WECC_NMAZ,onshore_wind,0.051,0.051,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,6
1,WECC_NMAZ,onshore_wind,385.631,385.631,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,7
1,WECC_NMAZ,onshore_wind,0.037000000000000005,0.037000000000000005,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test,8
