Line,New_Trans_Capacity,Cost_Trans_Capacity,iter,Policy,folder,case,weeks
10,664.00037,34073844.0,11,p2_2045_high_mid_REF_high,MGA_0.05_24,max,january_test
1,3674.9998,334777800.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
2,99.99948,9226652.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
3,509.46935999999994,44477696.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
4,1399.999,146467900.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
5,-0.00025787097,-21.679728,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
6,2857.9993,391540160.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
7,740.0002,46869390.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
8,5150.0,210985200.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
9,4150.0,168676750.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
10,664.0002400000001,34073836.0,12,p2_2045_high_mid_REF_high,MGA_0.05_18,max,january_test
1,-0.00032490367,-29.597424,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
2,99.99504,9226243.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
3,3674.9970000000003,320834600.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
4,210.15204,21986106.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
5,-0.00033903214999999996,-28.503109999999996,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
6,-0.00033382274,-45.733047,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
7,739.9954,46869092.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
8,5150.0,210985220.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
9,4149.994000000001,168676510.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
10,663.9999,34073820.0,13,p2_2045_high_mid_REF_high,MGA_0.05_10,max,january_test
1,596.6899400000001,54356068.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
2,99.9633,9223314.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
3,3674.9966,320834560.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
4,-9.302085999999999e-05,-9.731843,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
5,-0.00010196578999999999,-8.572467999999999,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
6,242.14062,33172780.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
7,739.9996,46869350.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
8,5149.999,210985150.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
9,3312.2842,134627790.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
10,663.9997,34073810.0,14,p2_2045_high_mid_REF_high,MGA_0.05_27,max,january_test
1,-0.00032974503,-30.038453999999998,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
2,99.99496500000001,9226236.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
3,-0.00036039486,-31.46319,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
4,1399.9839,146466320.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
5,-0.00034760852999999995,-29.224144,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
6,-0.00036150137999999997,-49.524967,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
7,740.0002,46869390.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
8,5149.9995,210985180.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
9,4149.979,168675890.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
10,664.00037,34073840.0,15,p2_2045_high_mid_REF_high,MGA_0.05_20,max,january_test
1,3674.9946,334777300.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
2,99.99964,9226667.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
3,315.62054,27554304.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
4,1399.9995,146467950.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
5,8801.575,739966000.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
6,-9.135771000000001e-05,-12.515823,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
7,740.00006,46869384.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
8,5150.0,210985200.0,16,p2_2045_high_mid_REF_high,MGA_0.05_15,max,january_test
