iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks
2,WECC_PNW,battery,10100.328000000001,10100.328000000001,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,hydro,29848.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,hydrogen_storage,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,nuclear,0.05,0.05,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,onshore_wind,5254.021,0.021,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_PNW,solar,40046.341,39836.441,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,NGCCS,0.026000000000000002,0.026000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,ZCF,3124.987,1229.983,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,battery,12155.691,12155.691,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,hydrogen_storage,2159.484,2159.484,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,nuclear,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,onshore_wind,36614.944,30863.243999999995,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,WECC_WYCO,solar,34121.246,33528.146,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
3,CA_N,NGCCS,10998.566,10998.566,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,ZCF,6228.697,0.10099999999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,CA_N,battery,0.46399999999999997,0.46399999999999997,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
